,Index,Article Type,Title,Authors,Publication Source,Publication Year,Citations,Importance Rate,Impact Factor,Article Link,BibTex,Synopsis,Cluster
24,25,1,Panorama of Recommender Systems to Support Learning,"H. Drachsler, K. Verbert, N. Manouselis, O. Santos",Recommender Systems Handbook,2015,209,2.996045477014335, ,https://www.semanticscholar.org/paper/b1a70aba49d5793252bae5935565559d972b9465,"@['Review']{Drachsler2015PanoramaOR,
 author = {H. Drachsler and K. Verbert and O. Santos and N. Manouselis},
 booktitle = {Recommender Systems Handbook},
 pages = {421-451},
 title = {Panorama of Recommender Systems to Support Learning},
 year = {2015}
}
",No synopsis,19
25,26,1,Evaluating Recommender Systems with User Experiments,"Bart P. Knijnenburg, M. Willemsen",Recommender Systems Handbook,2015,131,2.996045477014335, ,https://www.semanticscholar.org/paper/263be4a8c0bb9b13330a8b6a17db38470fbc1b7f,"@['Review']{Knijnenburg2015EvaluatingRS,
 author = {Bart P. Knijnenburg and M. Willemsen},
 booktitle = {Recommender Systems Handbook},
 pages = {309-352},
 title = {Evaluating Recommender Systems with User Experiments},
 year = {2015}
}
",No synopsis,38
26,27,1,Evaluating Recommender Systems,"A. Gunawardana, Guy Shani",Recommender Systems Handbook,2015,141,2.996045477014335, ,https://www.semanticscholar.org/paper/d564eac2a706900d3069aa7bdbc7aaac26edd842,"@['Review']{Gunawardana2015EvaluatingRS,
 author = {A. Gunawardana and Guy Shani},
 booktitle = {Recommender Systems Handbook},
 pages = {547-601},
 title = {Evaluating Recommender Systems},
 year = {2015}
}
",No synopsis,38
27,28,1,RecomMetz: A context-aware knowledge-based mobile recommender system for movie showtimes,"A. R. González, G. Alor-Hernández, J. Zapater, L. Colombo-Mendoza, R. Valencia-García",Expert systems with applications,2015,167,2.996045477014335, ,https://www.semanticscholar.org/paper/34f80305c84680ea677a0d8ebd41057570d2854b,"@['JournalArticle']{Colombo-Mendoza2015RecomMetz:AC,
 author = {L. Colombo-Mendoza and R. Valencia-García and A. R. González and G. Alor-Hernández and J. Zapater},
 booktitle = {Expert systems with applications},
 journal = {Expert Syst. Appl.},
 pages = {1202-1222},
 title = {RecomMetz: A context-aware knowledge-based mobile recommender system for movie showtimes},
 volume = {42},
 year = {2015}
}
",No synopsis,8
28,29,1,Health-aware Food Recommender System,"David Massimo, F. Ricci, Mouzhi Ge",ACM Conference on Recommender Systems,2015,105,2.996045477014335, ,https://www.semanticscholar.org/paper/64d3707fb01745695eccdbfaf6efca3340acca3f,"@['JournalArticle', 'Book']{Ge2015Health-awareFR,
 author = {Mouzhi Ge and F. Ricci and David Massimo},
 booktitle = {ACM Conference on Recommender Systems},
 journal = {Proceedings of the 9th ACM Conference on Recommender Systems},
 title = {Health-aware Food Recommender System},
 year = {2015}
}
","With the rapid changes in the food variety and lifestyles, many people are facing the problem of making healthier food decisions to reduce the risk of chronic diseases such as obesity and diabetes. To this end, our recommender system not only offers recipe recommendations that suit the user's preference but is also able to take the user's health into account. It is developed on a mobile platform by considering that our application may be directly used in the kitchen. This demo paper summarizes the complete human-computer interaction design, the implemented health-aware recommendation algorithm and preliminary user feedback.",28
29,30,1,Data Mining Methods for Recommender Systems,"A. Jaimes, J. M. Pujol, Nuria Oliver, X. Amatriain",Recommender Systems Handbook,2015,264,2.996045477014335, ,https://www.semanticscholar.org/paper/a18ba767ccff9c44656120ee8ba257ae13eb599c,"@['Review']{Amatriain2015DataMM,
 author = {X. Amatriain and A. Jaimes and Nuria Oliver and J. M. Pujol},
 booktitle = {Recommender Systems Handbook},
 pages = {227-262},
 title = {Data Mining Methods for Recommender Systems},
 year = {2015}
}
",No synopsis,16
30,31,1,Novelty and Diversity in Recommender Systems,"N. Hurley, P. Castells, S. Vargas",Recommender Systems Handbook,2015,257,2.996045477014335, ,https://www.semanticscholar.org/paper/f4c42b98e436adda98a5907288c007f4b9f603e2,"@['Review']{Castells2015NoveltyAD,
 author = {P. Castells and N. Hurley and S. Vargas},
 booktitle = {Recommender Systems Handbook},
 pages = {603-646},
 title = {Novelty and Diversity in Recommender Systems},
 year = {2015}
}
",No synopsis,19
31,32,1,Semantics-Aware Content-Based Recommender Systems,P. Lops,Recommender Systems Handbook,2014,225,2.995551161641127, ,https://www.semanticscholar.org/paper/1e69d030a5d36993cf01b86b1ec8b60798b0bbb6,"@['JournalArticle', 'Review']{Lops2014Semantics-AwareCR,
 author = {P. Lops},
 booktitle = {Recommender Systems Handbook},
 pages = {1},
 title = {Semantics-Aware Content-Based Recommender Systems},
 year = {2014}
}
",No synopsis,19
32,33,1,Comparative recommender system evaluation: benchmarking recommendation frameworks,"A. Said, Alejandro Bellogín",ACM Conference on Recommender Systems,2014,182,2.995551161641127, ,https://www.semanticscholar.org/paper/a380f9d28085a3bce1b85da864708b3f76967a42,"@['JournalArticle']{Said2014ComparativeRS,
 author = {A. Said and Alejandro Bellogín},
 booktitle = {ACM Conference on Recommender Systems},
 pages = {129-136},
 title = {Comparative recommender system evaluation: benchmarking recommendation frameworks},
 year = {2014}
}
","Recommender systems research is often based on comparisons of predictive accuracy: the better the evaluation scores, the better the recommender. However, it is difficult to compare results from different recommender systems due to the many options in design and implementation of an evaluation strategy. Additionally, algorithmic implementations can diverge from the standard formulation due to manual tuning and modifications that work better in some situations.
 In this work we compare common recommendation algorithms as implemented in three popular recommendation frameworks. To provide a fair comparison, we have complete control of the evaluation dimensions being benchmarked: dataset, data splitting, evaluation strategies, and metrics. We also include results using the internal evaluation mechanisms of these frameworks. Our analysis points to large differences in recommendation accuracy across frameworks and strategies, i.e. the same baselines may perform orders of magnitude better or worse across frameworks. Our results show the necessity of clear guidelines when reporting evaluation of recommender systems to ensure reproducibility and comparison of results.",11
33,34,1,LCARS: A Spatial Item Recommender System,"B. Cui, Hongzhi Yin, Ling Chen, Yizhou Sun, Zhiting Hu",ACM Trans. Inf. Syst.,2014,131,2.995551161641127, ,https://www.semanticscholar.org/paper/ec6d292dd068745ef4cf2602aaf6bcb01b0952bb,"@['JournalArticle']{Yin2014LCARS:AS,
 author = {Hongzhi Yin and B. Cui and Yizhou Sun and Zhiting Hu and Ling Chen},
 booktitle = {ACM Trans. Inf. Syst.},
 journal = {ACM Trans. Inf. Syst.},
 pages = {11:1-11:37},
 title = {LCARS: A Spatial Item Recommender System},
 volume = {32},
 year = {2014}
}
","Newly emerging location-based and event-based social network services provide us with a new platform to understand users' preferences based on their activity history. A user can only visit a limited number of venues/events and most of them are within a limited distance range, so the user-item matrix is very sparse, which creates a big challenge to the traditional collaborative filtering-based recommender systems. The problem becomes even more challenging when people travel to a new city where they have no activity information. In this article, we propose LCARS, a location-content-aware recommender system that offers a particular user a set of venues (e.g., restaurants and shopping malls) or events (e.g., concerts and exhibitions) by giving consideration to both personal interest and local preference. This recommender system can facilitate people's travel not only near the area in which they live, but also in a city that is new to them. Specifically, LCARS consists of two components: offline modeling and online recommendation. The offline modeling part, called LCA-LDA, is designed to learn the interest of each individual user and the local preference of each individual city by capturing item cooccurrence patterns and exploiting item contents. The online recommendation part takes a querying user along with a querying city as input, and automatically combines the learned interest of the querying user and the local preference of the querying city to produce the top-k recommendations. To speed up the online process, a scalable query processing technique is developed by extending both the Threshold Algorithm (TA) and TA-approximation algorithm. We evaluate the performance of our recommender system on two real datasets, that is, DoubanEvent and Foursquare, and one large-scale synthetic dataset. The results show the superiority of LCARS in recommending spatial items for users, especially when traveling to new cities, in terms of both effectiveness and efficiency. Besides, the experimental analysis results also demonstrate the excellent interpretability of LCARS.",7
34,35,1,LARS*: An Efficient and Scalable Location-Aware Recommender System,"A. Eldawy, Justin J. Levandoski, M. Mokbel, Mohamed Sarwat",IEEE Transactions on Knowledge and Data Engineering,2014,150,2.995551161641127, ,https://www.semanticscholar.org/paper/8876ec3c0add3ac30cfb493d96e4126534f04915,"@['JournalArticle']{Sarwat2014LARS*:AE,
 author = {Mohamed Sarwat and Justin J. Levandoski and A. Eldawy and M. Mokbel},
 booktitle = {IEEE Transactions on Knowledge and Data Engineering},
 journal = {IEEE Transactions on Knowledge and Data Engineering},
 pages = {1384-1399},
 title = {LARS*: An Efficient and Scalable Location-Aware Recommender System},
 volume = {26},
 year = {2014}
}
","This paper proposes LARS*, a location-aware recommender system that uses location-based ratings to produce recommendations. Traditional recommender systems do not consider spatial properties of users nor items; LARS*, on the other hand, supports a taxonomy of three novel classes of location-based ratings, namely, spatial ratings for non-spatial items, non-spatial ratings for spatial items, and spatial ratings for spatial items. LARS* exploits user rating locations through user partitioning, a technique that influences recommendations with ratings spatially close to querying users in a manner that maximizes system scalability while not sacrificing recommendation quality. LARS* exploits item locations using travel penalty, a technique that favors recommendation candidates closer in travel distance to querying users in a way that avoids exhaustive access to all spatial items. LARS* can apply these techniques separately, or together, depending on the type of location-based rating available. Experimental evidence using large-scale real-world data from both the Foursquare location-based social network and the MovieLens movie recommendation system reveals that LARS* is efficient, scalable, and capable of producing recommendations twice as accurate compared to existing recommendation approaches.",40
